수신 시각 없음|Time unavailable|受信時刻なし|Hora no disponible|Horário indisponível|Heure indisponible|Zeit unbekannt
수신시간|Received|受信日時|Recibido|Recebido|Reçu|Empfangen
메일 내용|Message content|メールの内容|Contenido del mensaje|Conteúdo da mensagem|Contenu du message|Nachrichteninhalt
목록으로|Back to inbox|一覧に戻る|Volver al buzón|Voltar à caixa|Retour à la boîte|Zurück zum Posteingang
텍스트로 보기|Text view|テキスト表示|Vista de texto|Visualização de texto|Vue texte|Textansicht
메일이 오지 않나요?|Missing an email?|メールが届きませんか？|¿No llega un correo?|O email não chegou?|Un email n’arrive pas ?|E-Mail nicht angekommen?
보관 안내|Retention details|保存について|Información de conservación|Sobre a retenção|Détails de conservation|Informationen zur Speicherung
유지할게요|Keep current mailbox|現在のメールボックスを維持|Mantener el buzón actual|Manter a caixa atual|Conserver la boîte actuelle|Aktuelles Postfach behalten
직접 복사해 주세요|Copy manually|手動でコピーしてください|Copia manualmente|Copie manualmente|Copiez manuellement|Manuell kopieren
브라우저에서 자동 복사를 허용하지 않았어요. 아래 내용을 길게 누르거나 복사 단축키를 사용해 주세요.|Automatic copying was blocked. Select the text below and use your copy shortcut.|自動コピーが許可されていません。下のテキストを選択してコピーしてください。|El navegador bloqueó la copia automática. Selecciona el texto y cópialo manualmente.|A cópia automática foi bloqueada. Selecione o texto abaixo e copie manualmente.|La copie automatique est bloquée. Sélectionnez le texte ci-dessous et copiez-le.|Automatisches Kopieren wurde blockiert. Markiere den Text unten und kopiere ihn manuell.
복사할 내용|Text to copy|コピーする内容|Texto para copiar|Texto para copiar|Texte à copier|Zu kopierender Text
확인|OK|確認|Aceptar|OK|OK|OK
본문으로 건너뛰기|Skip to content|本文へ移動|Ir al contenido|Ir para o conteúdo|Aller au contenu|Zum Inhalt
이용 가이드|Guides|使い方ガイド|Guías|Guias|Guides pratiques|Anleitungen
자주 묻는 질문|FAQ|よくある質問|Preguntas frecuentes|Perguntas frequentes|Questions fréquentes|Häufige Fragen
서비스 소개|About|サービスについて|Acerca del servicio|Sobre o serviço|À propos|Über den Dienst
문의|Contact|お問い合わせ|Contacto|Contato|Contact|Kontakt
개인정보처리방침|Privacy|プライバシー|Privacidad|Privacidade|Confidentialité|Datenschutz
이용약관|Terms|利用規約|Condiciones|Termos|Conditions|Nutzungsbedingungen
주 메뉴|Main navigation|メインメニュー|Navegación principal|Navegação principal|Navigation principale|Hauptnavigation
서비스 안내|Service information|サービス案内|Información del servicio|Informações do serviço|Informations sur le service|Dienstinformationen
홈|Home|ホーム|Inicio|Início|Accueil|Startseite
언어|Language|言語|Idioma|Idioma|Langue|Sprache
이렇게 사용하세요|How to use temporary email|一時メールの使い方|Cómo usar el correo temporal|Como usar email temporário|Comment utiliser un email temporaire|So nutzt du temporäre E-Mails
주소 만들기|Create an address|アドレスを作成|Crea una dirección|Crie um endereço|Créez une adresse|Adresse erstellen
필요한 곳에 사용하기|Copy it where you need it|必要な場所に入力|Cópiala donde la necesites|Copie onde precisar|Copiez-la où vous en avez besoin|Adresse am gewünschten Ort nutzen
도착한 메일 확인하기|Read incoming messages|受信メールを確認|Lee los mensajes recibidos|Leia as mensagens recebidas|Lisez les messages reçus|Eingehende Nachrichten lesen
가입 없이 임시 이메일을 발급받아요.|Get a temporary address without signing up.|登録せずに一時アドレスを取得します。|Obtén una dirección temporal sin registrarte.|Obtenha um endereço temporário sem cadastro.|Obtenez une adresse temporaire sans inscription.|Erhalte eine temporäre Adresse ohne Anmeldung.
주소를 복사해 메일을 받을 곳에 입력해요.|Copy the address into the service you are using.|利用するサービスにアドレスを入力します。|Copia la dirección en el servicio que estés usando.|Copie o endereço no serviço que estiver usando.|Copiez l’adresse dans le service que vous utilisez.|Trage die Adresse beim gewünschten Dienst ein.
받은편지함에서 내용을 바로 확인해요.|Open your inbox to read the message as text.|受信トレイでメールをテキストとして読みます。|Abre el buzón para leer el mensaje como texto.|Abra a caixa para ler a mensagem como texto.|Ouvrez la boîte pour lire le message sous forme de texte.|Öffne den Posteingang und lies die Nachricht als Text.
참고 자료|Sources|参考資料|Fuentes|Fontes|Sources|Quellen
관련 가이드|Related guides|関連ガイド|Guías relacionadas|Guias relacionados|Guides associés|Weitere Anleitungen
요청이 너무 많습니다. 잠시 후 다시 시도해 주세요.|Too many requests. Please wait a minute and try again.|リクエストが多すぎます。1分ほど待って再試行してください。|Demasiadas solicitudes. Espera un minuto y vuelve a intentarlo.|Muitas solicitações. Aguarde um minuto e tente novamente.|Trop de requêtes. Attendez une minute avant de réessayer.|Zu viele Anfragen. Warte eine Minute und versuche es erneut.
요청을 허용할 수 없습니다. 페이지를 새로고침해 주세요.|This request is not allowed. Please reload the page.|このリクエストは許可されていません。ページを再読み込みしてください。|No se permite esta solicitud. Recarga la página.|Esta solicitação não é permitida. Recarregue a página.|Cette requête n’est pas autorisée. Rechargez la page.|Diese Anfrage ist nicht erlaubt. Bitte lade die Seite neu.
