homeTitle|Free Temp Mail & Disposable Email — HaruMail|無料の使い捨てメール・捨てメアド — HaruMail|Correo temporal gratis y desechable — HaruMail|Email temporário grátis e descartável — HaruMail|Email temporaire gratuit et jetable — HaruMail|Kostenlose Wegwerf-E-Mail & Temp Mail — HaruMail
faqDescription|Answers about free temporary email, the 24-hour access period, verification messages, and mailbox privacy.|無料の一時メール、24時間の利用期限、認証メール、メールボックスのプライバシーに関する回答です。|Respuestas sobre correo temporal gratis, acceso de 24 horas, mensajes de verificación y privacidad.|Respostas sobre email temporário grátis, acesso por 24 horas, mensagens de verificação e privacidade.|Réponses sur l’email temporaire gratuit, l’accès de 24 heures, les messages de vérification et la confidentialité.|Antworten zu kostenlosen temporären E-Mails, 24 Stunden Zugriff, Bestätigungsnachrichten und Datenschutz.
faqFreeQ|Is HaruMail free? Do I need an account?|無料ですか？登録は必要ですか？|¿HaruMail es gratis? ¿Necesito una cuenta?|O HaruMail é grátis? Preciso de uma conta?|HaruMail est-il gratuit ? Faut-il un compte ?|Ist HaruMail kostenlos? Brauche ich ein Konto?
faqFreeA|Creating an address and reading received messages is free. No registration, payment card, or password is required.|アドレス作成と受信メールの閲覧は無料です。会員登録、カード情報、パスワードは不要です。|Crear una dirección y leer mensajes es gratis. No necesitas registro, tarjeta ni contraseña.|Criar um endereço e ler mensagens é grátis. Não é necessário cadastro, cartão ou senha.|La création d’une adresse et la lecture des messages sont gratuites. Aucun compte, carte bancaire ou mot de passe n’est demandé.|Adresse und Nachrichtenempfang sind kostenlos. Registrierung, Zahlungskarte und Passwort sind nicht erforderlich.
faqTimeQ|How long can I use the address?|アドレスはいつまで使えますか？|¿Cuánto dura la dirección?|Por quanto tempo posso usar o endereço?|Combien de temps l’adresse est-elle utilisable ?|Wie lange kann ich die Adresse nutzen?
faqTimeA|The mailbox is accessible for 24 hours after creation, while its access cookie remains in the same browser. Closing it, creating a new address, or clearing cookies removes access. The address alone cannot restore it.|作成から24時間、同じブラウザーにアクセス用Cookieがある間利用できます。閉じる、新規作成、Cookieの削除でアクセスを失います。アドレスだけでは復元できません。|El buzón es accesible 24 horas desde su creación mientras mantengas la cookie en el mismo navegador. Cerrarlo, crear otra dirección o borrar cookies elimina el acceso. La dirección por sí sola no permite recuperarlo.|A caixa fica acessível por 24 horas após a criação enquanto o cookie permanecer no mesmo navegador. Fechar, criar outro endereço ou apagar cookies remove o acesso. Só o endereço não permite recuperá-la.|La boîte est accessible 24 heures après sa création tant que le cookie reste dans le même navigateur. La fermer, changer d’adresse ou effacer les cookies supprime l’accès. L’adresse seule ne permet pas de la récupérer.|Das Postfach ist ab Erstellung 24 Stunden mit dem Zugriffscookie desselben Browsers nutzbar. Schließen, eine neue Adresse oder gelöschte Cookies beenden den Zugriff. Die Adresse allein stellt ihn nicht wieder her.
faqFakeQ|Is a “fake email” the same as temporary email?|「架空のメール」と使い捨てメールは同じですか？|¿Un «correo falso» es lo mismo que un correo temporal?|Um “email falso” é igual a um email temporário?|Un « faux email » est-il un email temporaire ?|Ist eine „Fake-E-Mail“ dasselbe wie eine temporäre E-Mail?
faqFakeA|People sometimes search for “fake email” when they want a disposable inbox. HaruMail creates a real receiving address, not an invented address that cannot receive mail. It is not a tool for impersonation or bypassing another service’s rules.|捨てメアドを探す際に「架空のメール」と呼ばれることがありますが、HaruMailが作るのは実際に受信できるアドレスです。受信できない適当な文字列ではありません。他人へのなりすましや他サービスの規則回避のためのものではありません。|A veces se busca «correo falso» para encontrar un buzón desechable. HaruMail crea una dirección que recibe mensajes de verdad, no una dirección inventada. No es una herramienta para suplantar identidades ni eludir las reglas de otros servicios.|Algumas pessoas buscam “email falso” quando querem uma caixa descartável. O HaruMail cria um endereço que realmente recebe mensagens, não um endereço inventado. Não é uma ferramenta para se passar por outra pessoa nem burlar regras de serviços.|L’expression « faux email » désigne parfois une boîte jetable dans les recherches. HaruMail crée une adresse qui reçoit réellement des messages, pas une adresse inventée. Ce n’est pas un outil d’usurpation d’identité ni de contournement des règles.|Mit „Fake-E-Mail“ ist bei der Suche manchmal ein Wegwerf-Postfach gemeint. HaruMail erstellt eine tatsächlich empfangsfähige Adresse, keine erfundene Adresse. Der Dienst dient nicht der Identitätstäuschung oder Umgehung fremder Regeln.
faqTenQ|Is this a 10 minute mail service?|10分メールのサービスですか？|¿Es un servicio de correo de 10 minutos?|É um serviço de email de 10 minutos?|Est-ce un service d’email de 10 minutes ?|Ist das ein 10-Minuten-Mail-Dienst?
faqTenA|HaruMail offers 24 hours of browser access from creation, rather than a 10-minute session. It is still temporary: it cannot replace a permanent inbox or a password recovery address.|HaruMailの利用期間は10分ではなく作成から24時間です。それでも一時的なメールなので、常用メールやパスワード復旧用アドレスの代わりにはなりません。|HaruMail ofrece 24 horas de acceso desde la creación, en lugar de 10 minutos. Sigue siendo temporal: no sustituye un buzón permanente ni una dirección de recuperación.|O HaruMail oferece 24 horas de acesso após a criação, em vez de 10 minutos. Ainda é temporário: não substitui uma caixa permanente nem um endereço de recuperação de senha.|HaruMail offre 24 heures d’accès après création, plutôt qu’une session de 10 minutes. Il reste temporaire et ne remplace ni une boîte permanente ni une adresse de récupération.|HaruMail bietet ab Erstellung 24 Stunden Browserzugriff statt 10 Minuten. Das Postfach bleibt temporär und ersetzt weder eine dauerhafte Adresse noch eine Adresse zur Passwortwiederherstellung.
faqSitesQ|Will every website accept this email?|すべてのサイトで使えますか？|¿Todos los sitios aceptan este correo?|Todos os sites aceitam este email?|Tous les sites acceptent-ils cette adresse ?|Akzeptiert jede Website diese Adresse?
faqSitesA|No. Some services block disposable domains or apply their own eligibility checks. HaruMail cannot guarantee registration, verification, or a promotion. Follow the other service’s rules.|いいえ。使い捨てドメインを拒否したり、独自の利用条件を設けたりするサービスがあります。登録・認証・特典の利用は保証できません。各サービスの規則に従ってください。|No. Algunos servicios bloquean dominios desechables o aplican condiciones propias. HaruMail no garantiza el registro, la verificación ni las promociones. Respeta las reglas del otro servicio.|Não. Alguns serviços bloqueiam domínios descartáveis ou aplicam critérios próprios. O HaruMail não garante cadastro, verificação ou promoções. Respeite as regras de cada serviço.|Non. Certains services bloquent les domaines jetables ou appliquent leurs propres critères. HaruMail ne garantit ni inscription, ni vérification, ni promotion. Respectez les règles du service concerné.|Nein. Manche Dienste sperren Wegwerf-Domains oder haben eigene Bedingungen. HaruMail garantiert weder Registrierung noch Bestätigung oder Aktionen. Beachte die Regeln des jeweiligen Dienstes.
faqSendQ|Can I send mail or download attachments?|送信や添付ファイルの保存はできますか？|¿Puedo enviar correo o descargar adjuntos?|Posso enviar emails ou baixar anexos?|Puis-je envoyer des emails ou télécharger des pièces jointes ?|Kann ich E-Mails senden oder Anhänge herunterladen?
faqSendA|This version only receives mail and displays readable text. Sending, replying, attachments, and raw HTML are not supported. Remote images and scripts in messages are not loaded.|このバージョンは受信とテキスト表示のみです。送信、返信、添付ファイル、HTML原文には対応していません。メール内の外部画像やスクリプトも読み込みません。|Esta versión solo recibe correo y muestra texto legible. No admite envío, respuestas, adjuntos ni HTML original. No carga imágenes remotas ni scripts del mensaje.|Esta versão apenas recebe emails e exibe texto legível. Não oferece envio, respostas, anexos ou HTML original. Imagens externas e scripts das mensagens não são carregados.|Cette version reçoit les messages et affiche leur texte. L’envoi, les réponses, les pièces jointes et le HTML brut ne sont pas pris en charge. Les images distantes et les scripts ne sont pas chargés.|Diese Version empfängt E-Mails und zeigt lesbaren Text an. Versand, Antworten, Anhänge und HTML-Original sind nicht verfügbar. Externe Bilder und Skripte in Nachrichten werden nicht geladen.
guidePrivacyTitle|Temporary email: how it works and what it protects|使い捨てメールの仕組みとプライバシー|Correo temporal: cómo funciona y qué protege|Email temporário: como funciona e o que protege|Email temporaire : fonctionnement et confidentialité|Temporäre E-Mail: Funktionsweise und Datenschutz
guidePrivacyDescription|Understand what a disposable inbox keeps separate from your main address, and what it does not make anonymous.|使い捨てメールで普段のアドレスを分ける仕組みと、匿名性の限界を説明します。|Descubre qué separa un buzón desechable de tu dirección principal y cuáles son sus límites de anonimato.|Entenda como uma caixa descartável separa seu endereço principal e quais são os limites do anonimato.|Comprenez ce qu’une boîte jetable sépare de votre adresse principale et les limites de son anonymat.|Erfahre, was ein Wegwerf-Postfach von deiner Hauptadresse trennt und wo die Grenzen der Anonymität liegen.
guidePrivacyBody|When someone sends mail to your generated address, the receiving infrastructure routes it to storage. The website uses your browser’s signed cookie to retrieve only the mailbox you can access. Your everyday address need not be shared with the sender, but the website and mail providers still process message and connection data. This is not end-to-end encrypted email or a guarantee of anonymity.|作成したアドレスに届いたメールは、受信基盤から保存先へ転送されます。サイトはブラウザーの署名付きCookieを使い、アクセス権のあるメールボックスを表示します。普段のアドレスを送信者に知らせずに済みますが、サイトと提供事業者はメールや接続情報を処理します。エンドツーエンド暗号化や完全な匿名性は提供しません。|El correo enviado a tu dirección pasa por la infraestructura de recepción y se almacena. La web usa una cookie firmada para mostrar solo el buzón al que tienes acceso. No necesitas compartir tu dirección habitual, pero la web y los proveedores procesan mensajes y datos de conexión. No es cifrado de extremo a extremo ni una garantía de anonimato.|As mensagens enviadas ao endereço passam pela infraestrutura de recebimento e são armazenadas. O site usa um cookie assinado para exibir apenas a caixa à qual você tem acesso. Seu endereço principal não precisa ser compartilhado, mas o site e os provedores processam mensagens e dados de conexão. Não há criptografia de ponta a ponta nem garantia de anonimato.|Les messages envoyés à votre adresse passent par l’infrastructure de réception puis le stockage. Le site utilise un cookie signé pour afficher la boîte à laquelle vous avez accès. Votre adresse habituelle n’a pas à être communiquée, mais le site et ses prestataires traitent les messages et les données de connexion. Ce n’est ni du chiffrement de bout en bout ni une garantie d’anonymat.|Nachrichten an deine erzeugte Adresse werden über die Empfangsinfrastruktur gespeichert. Die Website zeigt mithilfe eines signierten Browsercookies nur dein zugängliches Postfach. Deine Hauptadresse muss dem Absender nicht bekannt werden. Website und Anbieter verarbeiten jedoch Nachrichten und Verbindungsdaten. Das ist weder Ende-zu-Ende-Verschlüsselung noch eine Anonymitätsgarantie.
guideAliasTitle|Temporary inbox or email alias: which should you use?|使い捨てメールとメールエイリアスの選び方|Correo temporal o alias: ¿cuál elegir?|Email temporário ou alias: qual usar?|Email temporaire ou alias : que choisir ?|Wegwerf-Postfach oder E-Mail-Alias: Was passt?
guideAliasDescription|Compare a temporary receiving inbox, a forwarding alias, and a permanent account before sharing an email address.|メールアドレスを登録する前に、一時受信箱・転送エイリアス・通常のメールを比較しましょう。|Compara un buzón temporal, un alias de reenvío y una cuenta permanente antes de compartir tu dirección.|Compare uma caixa temporária, um alias de encaminhamento e uma conta permanente antes de compartilhar um endereço.|Comparez boîte temporaire, alias de transfert et compte permanent avant de communiquer une adresse.|Vergleiche temporäres Postfach, Weiterleitungsalias und dauerhaftes Konto, bevor du eine Adresse angibst.
guideAliasBody|A disposable inbox is useful when you only need to read a short-lived message. An alias usually forwards mail into an existing inbox and may be better for a relationship you want to keep. A permanent email account is the appropriate choice for long-term access and recovery. HaruMail is a receiving inbox, not a forwarding alias: messages appear here, and are not forwarded to your personal email.|短期間だけメールを確認するなら使い捨てメールが適しています。エイリアスは通常、既存のメールボックスに転送するため、継続的な連絡に向いています。長期利用やアカウント復旧には通常のメールを選んでください。HaruMailは転送エイリアスではなく受信箱です。メールはここに表示され、個人のメールへ転送されません。|Un buzón desechable sirve para leer mensajes puntuales. Un alias suele reenviar al buzón habitual y puede ser mejor para una relación que quieras mantener. Una cuenta permanente es la opción adecuada para acceso y recuperación a largo plazo. HaruMail es un buzón receptor, no un alias: los mensajes aparecen aquí y no se reenvían a tu correo personal.|Uma caixa descartável serve para mensagens pontuais. Um alias costuma encaminhar para sua caixa existente e pode ser melhor para contatos contínuos. Uma conta permanente é adequada para acesso e recuperação a longo prazo. O HaruMail é uma caixa de recebimento, não um alias: as mensagens aparecem aqui e não são encaminhadas para seu email pessoal.|Une boîte jetable convient à un message ponctuel. Un alias transfère généralement les messages vers une boîte existante et convient mieux à une relation suivie. Un compte permanent est préférable pour l’accès et la récupération à long terme. HaruMail est une boîte de réception, pas un alias : les messages apparaissent ici et ne sont pas transférés vers votre email personnel.|Ein Wegwerf-Postfach eignet sich für kurzzeitig benötigte Nachrichten. Ein Alias leitet meist an ein vorhandenes Postfach weiter und passt besser zu längerfristigen Kontakten. Für dauerhaften Zugriff und Kontowiederherstellung ist ein reguläres E-Mail-Konto geeignet. HaruMail ist kein Weiterleitungsalias: Nachrichten erscheinen hier und werden nicht an deine persönliche Adresse weitergeschickt.
guideMissingTitle|Temporary email not receiving messages? A checklist|使い捨てメールが届かないときの確認手順|¿No llega el correo temporal? Qué comprobar|Email temporário não recebe mensagens? Confira|Email temporaire non reçu : que vérifier ?|Temporäre E-Mail kommt nicht an: Prüfliste
guideMissingDescription|Check the address, mailbox session, sender status, resend interval, and domain restrictions when an email is missing.|アドレス、ブラウザーの状態、送信状況、再送間隔、ドメイン制限を順に確認します。|Revisa dirección, sesión del buzón, estado del envío, intervalo de reenvío y restricciones del dominio.|Verifique endereço, sessão da caixa, status do envio, intervalo de reenvio e restrições de domínio.|Vérifiez l’adresse, la session, l’état de l’envoi, le délai de renvoi et les restrictions de domaine.|Prüfe Adresse, Postfachsitzung, Versandstatus, Wiederholungsintervall und Domainbeschränkungen.
guideMissingBody|First compare the address on this page with the one entered on the sending site, including the domain after @. Stay in the same browser and do not create a new address while waiting. Refresh the inbox; automatic checks normally run every 20 seconds. If the sender provides a resend button, wait for its stated interval. A rejected address and an accepted request with no delivered message are different problems.|まず、この画面のアドレスと送信元サイトに入力したアドレスを、@以降も含めて照合します。待っている間は同じブラウザーを使い、新しいアドレスを作成しないでください。受信トレイを更新します。通常は20秒ごとに自動確認します。再送ボタンがある場合は指定の間隔を守ってください。アドレス自体の拒否と、送信受付後の未着は別の問題です。|Compara la dirección de esta página con la introducida en el sitio emisor, incluido el dominio tras @. Mantén el mismo navegador y no crees otra dirección mientras esperas. Actualiza el buzón; normalmente se revisa cada 20 segundos. Si hay un botón de reenvío, respeta el intervalo indicado. Una dirección rechazada y un mensaje aceptado pero no recibido son problemas distintos.|Compare o endereço desta página com o informado no site remetente, incluindo o domínio após @. Use o mesmo navegador e não crie outro endereço enquanto espera. Atualize a caixa; a verificação costuma ocorrer a cada 20 segundos. Se houver botão de reenvio, respeite o intervalo indicado. Endereço recusado e mensagem aceita mas não recebida são problemas diferentes.|Comparez l’adresse affichée avec celle saisie sur le site expéditeur, y compris le domaine après @. Gardez le même navigateur et ne créez pas de nouvelle adresse pendant l’attente. Actualisez la boîte ; la vérification a normalement lieu toutes les 20 secondes. Respectez le délai du bouton de renvoi. Une adresse refusée et un message accepté mais non reçu sont deux problèmes différents.|Vergleiche die hier angezeigte Adresse einschließlich der Domain nach @ mit der beim Absender eingegebenen Adresse. Bleibe im selben Browser und erstelle während des Wartens keine neue Adresse. Aktualisiere das Postfach; normalerweise wird alle 20 Sekunden geprüft. Beachte vor erneutem Versand das angegebene Intervall. Eine abgelehnte Adresse und eine fehlende Nachricht nach angenommenem Versand sind unterschiedliche Probleme.
guideMissingNext|If mail is still missing, check whether the service blocks disposable email, delays sending, or requires a permanent address. Only the sender can confirm whether it actually dispatched the message. Do not repeatedly request codes or change addresses as a way to bypass its limits. Use a permanent address when required.|届かない場合は、送信元が使い捨てメールを拒否していないか、送信が遅れていないか、通常のメールを求めていないかを確認します。実際の送信完了は送信元でしか確認できません。制限回避のためにコードの要求やアドレス変更を繰り返さず、必要なら通常のメールを使ってください。|Si sigue sin llegar, comprueba si el servicio bloquea correo desechable, retrasa el envío o exige una dirección permanente. Solo el remitente puede confirmar el envío real. No solicites códigos ni cambies direcciones repetidamente para eludir límites. Usa una dirección permanente cuando se requiera.|Se ainda não chegar, veja se o serviço bloqueia emails descartáveis, atrasa o envio ou exige um endereço permanente. Só o remetente pode confirmar o envio real. Não peça códigos nem troque de endereço repetidamente para burlar limites. Use um endereço permanente quando exigido.|Si rien n’arrive, vérifiez si le service bloque les emails jetables, retarde l’envoi ou exige une adresse permanente. Seul l’expéditeur peut confirmer l’envoi effectif. Ne multipliez pas les demandes de codes ou changements d’adresse pour contourner ses limites. Utilisez une adresse permanente si elle est exigée.|Prüfe bei weiterem Ausbleiben, ob der Dienst Wegwerf-Adressen sperrt, verzögert sendet oder eine dauerhafte Adresse verlangt. Nur der Absender kann den tatsächlichen Versand bestätigen. Fordere nicht wiederholt Codes an und wechsle nicht zur Umgehung von Limits die Adresse. Nutze bei Bedarf eine dauerhafte Adresse.
guideTestingTitle|Test email delivery on a service you control|自分のサービスでメール受信をテストする|Prueba la entrega de correo en tu propio servicio|Teste o recebimento de email no seu serviço|Tester la réception des emails de votre service|E-Mail-Empfang für deinen eigenen Dienst testen
guideTestingDescription|Use a disposable test inbox to check subjects, text, Unicode, and links without including real personal data.|実際の個人情報を使わず、一時受信箱で件名・本文・文字コード・リンクを確認しましょう。|Usa un buzón de prueba para revisar asuntos, texto, caracteres y enlaces sin datos personales reales.|Use uma caixa de teste para conferir assunto, texto, caracteres e links sem dados pessoais reais.|Utilisez une boîte de test pour vérifier objets, texte, caractères et liens sans données personnelles réelles.|Prüfe Betreff, Text, Sonderzeichen und Links in einem Testpostfach ohne echte personenbezogene Daten.
guideTestingBody|Create a new inbox, then send a synthetic message from an application you own or are authorized to test. Verify the recipient, subject, readable body, and timestamp. Test both plain text and HTML-only messages, because HaruMail displays readable text rather than the original HTML. Use test codes and fictional names; never include real passwords, payment details, or customer records.|自分が管理する、またはテスト許可のあるアプリから、作成した受信箱へテストメールを送ります。宛先、件名、読める本文、日時を確認してください。HaruMailはHTML原文ではなくテキストを表示するため、プレーンテキストとHTMLのみのメールの両方を試します。コードや氏名はテスト用にし、実際のパスワードや決済情報、顧客情報を含めないでください。|Crea un buzón y envía un mensaje ficticio desde una aplicación propia o autorizada. Comprueba destinatario, asunto, texto y hora. Prueba texto plano y mensajes solo HTML, ya que HaruMail muestra texto legible en vez del HTML original. Usa códigos y nombres de prueba; nunca contraseñas reales, datos de pago ni registros de clientes.|Crie uma caixa e envie uma mensagem fictícia de um aplicativo próprio ou autorizado. Confira destinatário, assunto, texto e horário. Teste texto simples e mensagens apenas HTML, pois o HaruMail mostra texto legível em vez do HTML original. Use códigos e nomes fictícios; nunca senhas reais, dados de pagamento ou registros de clientes.|Créez une boîte puis envoyez un message fictif depuis une application que vous gérez ou êtes autorisé à tester. Vérifiez destinataire, objet, texte et heure. Testez le texte brut et le HTML seul, car HaruMail affiche du texte lisible plutôt que le HTML original. Utilisez des codes et noms fictifs, jamais de vrais mots de passe, données de paiement ou dossiers clients.|Erstelle ein Postfach und sende eine synthetische Nachricht aus einer eigenen oder zum Test freigegebenen Anwendung. Prüfe Empfänger, Betreff, lesbaren Text und Zeitstempel. Teste Klartext und reine HTML-Nachrichten, da HaruMail Text statt des HTML-Originals anzeigt. Verwende Testcodes und erfundene Namen, niemals echte Passwörter, Zahlungs- oder Kundendaten.
guideTestingNext|Keep tests small and respect request limits. A successful receive test checks this delivery path at that moment; it does not prove delivery to all providers. Check long-lived account workflows with a permanent test account that you can recover later.|テスト件数を抑え、リクエスト制限を守ってください。一度の受信成功はその時点の経路を確認するもので、すべての事業者への到達を保証しません。継続利用や復旧のテストには、後からアクセスできる通常のテストアカウントを使ってください。|Limita el volumen de pruebas y respeta los límites. Recibir un mensaje verifica esa ruta en ese momento, no la entrega a todos los proveedores. Prueba los procesos de cuentas duraderas con una cuenta permanente que puedas recuperar.|Mantenha os testes pequenos e respeite os limites. Receber uma mensagem verifica aquele caminho naquele momento, não a entrega a todos os provedores. Teste fluxos de contas duradouras com uma conta permanente recuperável.|Limitez le volume des tests et respectez les limites de requêtes. Une réception réussie vérifie ce trajet à cet instant, pas la livraison vers tous les prestataires. Testez les comptes durables avec une adresse permanente récupérable.|Halte Tests klein und beachte Anfragelimits. Ein erfolgreicher Empfang bestätigt diesen Weg zu diesem Zeitpunkt, nicht die Zustellung an alle Anbieter. Prüfe dauerhafte Kontoprozesse mit einem langfristig zugänglichen Testkonto.
guidePhishingTitle|Read temporary email safely: links and phishing|一時メールのリンクとフィッシング対策|Lee correo temporal con cuidado: enlaces y phishing|Leia email temporário com cuidado: links e phishing|Lire ses emails temporaires : liens et hameçonnage|Temporäre E-Mails lesen: Links und Phishing
guidePhishingDescription|Learn what text-only viewing prevents and why sender names and verification links still need checking.|テキスト表示で防げることと、差出人名や認証リンクの確認が必要な理由を説明します。|Conoce qué evita la vista de texto y por qué debes revisar remitentes y enlaces de verificación.|Saiba o que a visualização de texto evita e por que conferir remetentes e links de verificação.|Comprenez les limites de l’affichage texte et pourquoi vérifier les expéditeurs et liens de confirmation.|Erfahre, was Textansicht verhindert und warum Absendernamen und Bestätigungslinks trotzdem geprüft werden müssen.
