practicalHeading|Try it with a non-sensitive message|機密情報を含まないメールで確認する|Prueba con un mensaje sin datos sensibles|Teste com uma mensagem sem dados sensíveis|Essayez avec un message sans données sensibles|Mit einer Nachricht ohne sensible Daten ausprobieren
missingEvidence|For a delivery issue, record the time and time zone, browser, visible error and whether the sender reported a successful send. If you control the sender, inspect its delivery or bounce log before retrying. A successful send request does not prove inbox delivery. Repeated code requests can invalidate earlier codes; follow the sender’s waiting period and use only the newest valid code. Never include passwords, cookies or complete verification links in a report.|配信の問題は発生時刻とタイムゾーン、ブラウザー、エラー文、送信側の表示を記録します。送信側を管理している場合は再送前に配信・バウンスログを確認してください。送信要求の成功だけでは受信箱への到着は証明できません。コードを繰り返し要求すると古いコードが無効になることがあります。相手の待機時間に従い、最新の有効なコードを使います。報告にパスワード、Cookie、認証リンク全体を含めないでください。|Anota hora, zona horaria, navegador, error visible y si el remitente confirmó el envío. Si lo administras, revisa los registros de entrega o rebote antes de reintentar. Una solicitud de envío correcta no demuestra la llegada al buzón. Pedir códigos repetidamente puede invalidar los anteriores: respeta la espera indicada y usa el más reciente que siga vigente. No incluyas contraseñas, cookies ni enlaces de verificación completos en un informe.|Anote horário, fuso, navegador, erro visível e se o remetente confirmou o envio. Se você administra o envio, consulte os registros de entrega ou devolução antes de tentar novamente. Uma solicitação aceita não comprova a chegada à caixa. Pedir códigos repetidamente pode invalidar os anteriores: respeite o intervalo indicado e use o código válido mais recente. Não inclua senhas, cookies ou links completos de verificação no relato.|Notez l’heure, le fuseau horaire, le navigateur, l’erreur affichée et la confirmation éventuelle de l’expéditeur. Si vous gérez l’envoi, consultez les journaux de livraison ou de rejet avant de réessayer. Une demande d’envoi réussie ne prouve pas la réception. Des demandes répétées peuvent invalider les anciens codes : respectez le délai indiqué et utilisez le plus récent encore valable. N’incluez jamais de mots de passe, de cookies ou de liens de vérification complets dans un signalement.|Notieren Sie Uhrzeit, Zeitzone, Browser, Fehlermeldung und ob der Absender den Versand bestätigt hat. Verwalten Sie den Versand selbst, prüfen Sie vor einem erneuten Versuch Zustell- oder Bounce-Protokolle. Eine erfolgreiche Versandanfrage beweist keine Zustellung. Wiederholte Codeanforderungen können ältere Codes ungültig machen. Beachten Sie die Wartezeit und nutzen Sie den neuesten gültigen Code. Geben Sie keine Passwörter, Cookies oder vollständigen Bestätigungslinks weiter.
testingHeading|A small, repeatable test|小さく再現できるテスト|Una prueba pequeña y repetible|Um teste pequeno e reproduzível|Un test simple et reproductible|Ein kleiner, wiederholbarer Test
testingExample|In a service you own or are authorized to test, create one HaruMail address and request one test message containing a unique, non-sensitive marker such as DEMO-2026-01. Check recipient, subject, text and arrival time. Open the message and compare the displayed code with the sender’s test record. HaruMail extracts likely codes from text; a highlighted number is a convenience, not proof that the message is authentic.|自分が管理するかテスト許可を得たサービスで、HaruMailのアドレスを1つ作り、DEMO-2026-01など機密性のない識別子を入れたテストメールを1通送ります。宛先、件名、本文、到着時刻を確認し、表示コードを送信側のテスト記録と照合します。HaruMailは本文からコードらしい文字列を抽出しますが、強調された数字はメールの正当性を証明しません。|En un servicio propio o autorizado, crea una dirección y solicita un mensaje con un identificador único y no sensible, como DEMO-2026-01. Comprueba destinatario, asunto, texto y hora de llegada. Compara el código mostrado con el registro de prueba del remitente. HaruMail identifica posibles códigos en el texto; resaltar un número facilita su uso, pero no demuestra la autenticidad del mensaje.|Em um serviço próprio ou autorizado, crie um endereço e solicite uma mensagem com um identificador único sem dados sensíveis, como DEMO-2026-01. Confira destinatário, assunto, texto e horário de chegada. Compare o código exibido com o registro de teste do remetente. O HaruMail identifica possíveis códigos no texto; destacar um número facilita o uso, mas não comprova a autenticidade da mensagem.|Dans un service que vous gérez ou êtes autorisé à tester, créez une adresse et demandez un message contenant un repère unique non sensible, comme DEMO-2026-01. Vérifiez le destinataire, l’objet, le texte et l’heure d’arrivée. Comparez le code affiché au journal de test de l’expéditeur. HaruMail repère les codes probables dans le texte ; un nombre mis en évidence facilite la lecture, mais ne prouve pas l’authenticité du message.|Erstellen Sie für einen eigenen oder ausdrücklich zum Test freigegebenen Dienst eine Adresse und fordern Sie eine Nachricht mit einer eindeutigen, nicht sensiblen Kennung wie DEMO-2026-01 an. Prüfen Sie Empfänger, Betreff, Text und Ankunftszeit. Vergleichen Sie den angezeigten Code mit dem Testprotokoll des Absenders. HaruMail erkennt mögliche Codes im Text; eine hervorgehobene Zahl bestätigt nicht die Echtheit der Nachricht.
testingLimitsHeading|Know what this test does not measure|このテストで確認できないこと|Qué no mide esta prueba|O que este teste não mede|Ce que ce test ne mesure pas|Was dieser Test nicht misst
testingLimits|The reader displays plain text and does not render email HTML, load remote images or open attachments. Use dedicated email previews to test responsive layouts and images. One message reaching HaruMail does not measure deliverability to all providers. Keep load tests in infrastructure you control; do not repeatedly create mailboxes or accounts on third-party services. After testing, remove test accounts in your own application and keep only the non-sensitive results you need.|表示はプレーンテキストで、HTML描画、外部画像の読み込み、添付ファイルの表示は行いません。レイアウトや画像は専用プレビューで確認します。HaruMailに1通届いても他社メールへの到達率は分かりません。負荷テストは管理下の設備で行い、他社のメールボックスやアカウントを繰り返し作成しないでください。終了後は自分のアプリのテストアカウントを削除し、必要な機密性のない結果だけを残します。|El lector muestra texto sin formato: no renderiza HTML, carga imágenes remotas ni abre adjuntos. Prueba diseños e imágenes con herramientas de previsualización. Recibir un mensaje aquí no mide la entregabilidad a todos los proveedores. Realiza las pruebas de carga en infraestructura propia; no crees repetidamente buzones o cuentas de terceros. Al terminar, elimina las cuentas de prueba en tu aplicación y conserva solo los resultados no sensibles necesarios.|O leitor exibe texto simples: não renderiza HTML, carrega imagens remotas nem abre anexos. Teste layouts e imagens com ferramentas de prévia de e-mail. Receber uma mensagem aqui não mede a entregabilidade para todos os provedores. Faça testes de carga em infraestrutura própria; não crie repetidamente caixas ou contas de terceiros. Ao terminar, remova as contas de teste no seu aplicativo e guarde apenas os resultados necessários sem dados sensíveis.|Le lecteur affiche du texte brut : il n’interprète pas le HTML, ne charge pas les images distantes et n’ouvre pas les pièces jointes. Testez la mise en page et les images avec des outils de prévisualisation. Un message reçu ici ne mesure pas la délivrabilité chez tous les fournisseurs. Réservez les tests de charge à votre infrastructure et ne multipliez pas les comptes tiers. Ensuite, supprimez les comptes de test de votre application et ne conservez que les résultats non sensibles nécessaires.|Der Leser zeigt Klartext, rendert kein E-Mail-HTML, lädt keine externen Bilder und öffnet keine Anhänge. Testen Sie Layouts und Bilder mit speziellen Vorschauwerkzeugen. Eine hier empfangene Nachricht misst nicht die Zustellbarkeit bei allen Anbietern. Führen Sie Lasttests nur auf eigener Infrastruktur durch und erstellen Sie nicht wiederholt fremde Konten oder Postfächer. Entfernen Sie danach die Testkonten Ihrer Anwendung und behalten Sie nur benötigte Ergebnisse ohne sensible Daten.
phishingHeading|Read a domain from right to left|ドメインは右側から確認する|Lee el dominio de derecha a izquierda|Leia o domínio da direita para a esquerda|Lisez le domaine de droite à gauche|Den Domainnamen von rechts prüfen
phishingExample|In the fictional address accounts.example.com, accounts is a subdomain of example.com. In example.com.attacker.test, the name example.com is only a prefix: the destination is under attacker.test. These are illustrative names, not links to visit. Check the actual host before entering a password. A familiar sender name, a verification code or HTTPS alone cannot establish who operates a website.|例示用のaccounts.example.comではaccountsはexample.comのサブドメインです。一方example.com.attacker.testではexample.comは先頭の文字列にすぎず、宛先はattacker.test配下です。これは説明用で、アクセスするリンクではありません。パスワードを入力する前に実際のホスト名を確認してください。見慣れた送信者名、認証コード、HTTPSだけでは運営者を確認できません。|En la dirección ficticia accounts.example.com, accounts es un subdominio de example.com. En example.com.attacker.test, example.com es solo un prefijo: el destino pertenece a attacker.test. Son ejemplos, no enlaces que debas visitar. Comprueba el host real antes de introducir contraseñas. Un remitente conocido, un código de verificación o HTTPS por sí solos no identifican al operador de una web.|No endereço fictício accounts.example.com, accounts é um subdomínio de example.com. Em example.com.attacker.test, example.com é apenas um prefixo: o destino pertence a attacker.test. São exemplos, não links para visitar. Confira o host real antes de digitar senhas. Um remetente conhecido, um código de verificação ou HTTPS, isoladamente, não identificam o operador de um site.|Dans l’adresse fictive accounts.example.com, accounts est un sous-domaine de example.com. Dans example.com.attacker.test, example.com n’est qu’un préfixe : la destination relève de attacker.test. Ce sont des exemples, pas des liens à visiter. Vérifiez le véritable nom d’hôte avant de saisir un mot de passe. Un nom d’expéditeur familier, un code ou HTTPS ne suffisent pas à identifier l’exploitant d’un site.|In der Beispieladresse accounts.example.com ist accounts eine Subdomain von example.com. Bei example.com.attacker.test ist example.com nur ein Präfix; das Ziel liegt unter attacker.test. Dies sind Beispiele und keine zu besuchenden Links. Prüfen Sie den tatsächlichen Host vor einer Passworteingabe. Ein vertrauter Absendername, ein Bestätigungscode oder HTTPS allein weisen den Websitebetreiber nicht nach.
phishingActionHeading|If you already followed a suspicious link|不審なリンクを開いた場合|Si ya abriste un enlace sospechoso|Se já abriu um link suspeito|Si vous avez déjà suivi un lien suspect|Nach dem Öffnen eines verdächtigen Links
phishingAction|Stop interacting with that page. Open the service through an address or app you already trust and check account activity there. If you entered a password, change it through that official channel and review active sessions and recovery methods. Do not paste a complete sign-in or reset link into public scanners or support posts: it can contain an access token. Closing the temporary mailbox does not undo information already submitted elsewhere.|そのページの操作をやめ、普段使う公式アプリや確認済みのアドレスからアカウントの利用状況を確認します。パスワードを入力した場合は公式の方法で変更し、ログイン中のセッションや復旧方法を点検してください。ログイン・再設定リンクにはアクセストークンが含まれる場合があるため、全体を公開スキャナーや投稿に貼らないでください。一時メールを閉じても他サイトに送信済みの情報は取り消されません。|Deja de interactuar con esa página. Abre el servicio desde una dirección o aplicación de confianza y revisa la actividad de la cuenta. Si introdujiste una contraseña, cámbiala por ese canal oficial y revisa sesiones y métodos de recuperación. No pegues enlaces completos de acceso o restablecimiento en escáneres públicos ni publicaciones: pueden contener un token de acceso. Cerrar el buzón temporal no revierte lo enviado a otros sitios.|Pare de interagir com essa página. Abra o serviço por um endereço ou aplicativo confiável e confira a atividade da conta. Se digitou uma senha, altere-a pelo canal oficial e revise sessões e métodos de recuperação. Não cole links completos de login ou redefinição em scanners públicos ou publicações: eles podem conter um token de acesso. Fechar a caixa temporária não desfaz informações enviadas a outros sites.|Cessez d’interagir avec cette page. Ouvrez le service depuis une adresse ou une application de confiance et consultez l’activité du compte. Si vous avez saisi un mot de passe, changez-le par ce canal officiel et vérifiez les sessions et moyens de récupération. Ne copiez pas un lien complet de connexion ou de réinitialisation dans un outil public ou un message public : il peut contenir un jeton d’accès. Fermer la boîte temporaire n’annule pas les informations déjà transmises ailleurs.|Interagieren Sie nicht weiter mit der Seite. Öffnen Sie den Dienst über eine vertraute Adresse oder App und prüfen Sie die Kontoaktivität. Haben Sie ein Passwort eingegeben, ändern Sie es über diesen offiziellen Weg und prüfen Sie aktive Sitzungen und Wiederherstellungsmethoden. Veröffentlichen Sie keine vollständigen Anmelde- oder Rücksetzlinks in Scannern oder Beiträgen; sie können Zugriffstoken enthalten. Das Schließen des temporären Postfachs macht bereits übermittelte Angaben nicht rückgängig.
editorialHeading|How this guide is maintained|ガイドの作成と更新|Cómo se mantiene esta guía|Como este guia é mantido|Comment ce guide est tenu à jour|Wie dieser Leitfaden gepflegt wird
editorialBody|HaruMail publishes these guides based on the service’s implemented behavior and the references below. Examples use fictional data. If a step or explanation is incorrect, send a correction through the contact page without including private email content.|HaruMailの実際の動作と以下の参考資料に基づいて公開しています。例には架空のデータを使っています。手順や説明の誤りは、私的なメール内容を含めず問い合わせページからお知らせください。|HaruMail publica estas guías según el funcionamiento implementado y las referencias siguientes. Los ejemplos usan datos ficticios. Si un paso o explicación es incorrecto, envía una corrección desde la página de contacto sin incluir correo privado.|O HaruMail publica estes guias com base no funcionamento implementado e nas referências abaixo. Os exemplos usam dados fictícios. Se uma etapa ou explicação estiver incorreta, envie uma correção pela página de contato sem incluir mensagens privadas.|HaruMail publie ces guides à partir du fonctionnement réel du service et des références ci-dessous. Les exemples utilisent des données fictives. Signalez les erreurs via la page de contact, sans transmettre le contenu de messages privés.|HaruMail veröffentlicht diese Leitfäden anhand der implementierten Funktionen und der folgenden Quellen. Die Beispiele verwenden fiktive Daten. Melden Sie fehlerhafte Schritte oder Erklärungen über die Kontaktseite, ohne private E-Mail-Inhalte mitzuschicken.
sourcesHeading|References|参考資料|Referencias|Referências|Références|Quellen
contactDetails|For service errors, delivery issues, content corrections, privacy requests or abuse reports, describe the date, time zone, browser and exact step that failed. Remove email addresses, codes and secret link parameters from screenshots. Never send passwords or browser cookies. Acceptance of an address or a promotion is decided by the external service.|サービスエラー、配信の問題、内容の訂正、個人情報に関する依頼、不正利用の報告には、発生日時、タイムゾーン、ブラウザー、問題の起きた操作を記載してください。画像のアドレス、コード、リンクの秘密値は隠してください。パスワードやCookieは送らないでください。アドレスやプロモーションの可否は相手サービスが判断します。|Para errores, problemas de entrega, correcciones, solicitudes de privacidad o denuncias de abuso, indica fecha, zona horaria, navegador y paso que falló. Oculta direcciones, códigos y parámetros secretos en las capturas. No envíes contraseñas ni cookies. El servicio externo decide si admite una dirección o una promoción.|Para erros, problemas de entrega, correções, solicitações de privacidade ou denúncias de abuso, informe data, fuso, navegador e etapa que falhou. Oculte endereços, códigos e parâmetros secretos nas capturas. Não envie senhas nem cookies. O serviço externo decide se aceita um endereço ou uma promoção.|Pour une erreur, un problème de livraison, une correction, une demande de confidentialité ou un signalement d’abus, précisez la date, le fuseau horaire, le navigateur et l’étape concernée. Masquez adresses, codes et paramètres secrets sur les captures. N’envoyez jamais de mots de passe ni de cookies. Le service externe décide s’il accepte une adresse ou une promotion.|Beschreiben Sie bei Fehlern, Zustellproblemen, Korrekturen, Datenschutzanfragen oder Missbrauchsmeldungen Datum, Zeitzone, Browser und den betroffenen Schritt. Schwärzen Sie Adressen, Codes und geheime Linkparameter in Screenshots. Senden Sie keine Passwörter oder Cookies. Ob eine Adresse oder Aktion zulässig ist, entscheidet der externe Dienst.
cookieDetails|The functional xtmail_session cookie maintains mailbox access for up to 24 hours. It uses Secure, HttpOnly and SameSite=Strict. Tabs in the same browser share it. Clearing site cookies removes access; knowing the email address alone does not restore it. Essential session storage is separate from future advertising consent.|機能性Cookieのxtmail_sessionが最大24時間のアクセスを維持します。Secure、HttpOnly、SameSite=Strictを使用し、同じブラウザーのタブで共有されます。サイトのCookieを削除するとアクセスを失い、アドレスだけでは復元できません。この必須のセッション管理は将来の広告同意とは別です。|La cookie funcional xtmail_session mantiene el acceso hasta 24 horas. Usa Secure, HttpOnly y SameSite=Strict y se comparte entre pestañas del navegador. Borrar las cookies elimina el acceso; conocer la dirección no lo restaura. Esta sesión esencial es independiente del futuro consentimiento publicitario.|O cookie funcional xtmail_session mantém o acesso por até 24 horas. Usa Secure, HttpOnly e SameSite=Strict e é compartilhado entre abas do navegador. Apagar os cookies remove o acesso; saber o endereço não o restaura. Essa sessão essencial é separada de um futuro consentimento para publicidade.|Le cookie fonctionnel xtmail_session maintient l’accès pendant 24 heures au maximum. Il utilise Secure, HttpOnly et SameSite=Strict et est partagé entre les onglets du navigateur. Effacer les cookies retire l’accès ; connaître l’adresse ne le rétablit pas. Cette session essentielle est distincte d’un futur consentement publicitaire.|Das funktionale Cookie xtmail_session erhält den Zugriff für höchstens 24 Stunden. Es verwendet Secure, HttpOnly und SameSite=Strict und wird zwischen Tabs desselben Browsers geteilt. Das Löschen der Cookies entfernt den Zugriff; die Adresse allein stellt ihn nicht wieder her. Diese notwendige Sitzung ist von einer späteren Werbeeinwilligung getrennt.
operatorLabel|Operator|運営者|Responsable|Responsável|Exploitant|Betreiber
